sezoni,Squad,elo
2004-2005,Barcelona,1210.5551120024606
2004-2005,Real Madrid,1189.8683070917305
2004-2005,Villarreal,1169.0188627002506
2004-2005,Real Betis,1147.9755118504004
2004-2005,Espanyol,1126.7113935008713
2004-2005,Sevilla,1105.2037255053262
2004-2005,Valencia,1083.433473760163
2004-2005,Athletic Club,1061.3850311775516
2004-2005,Deportivo La Coruna,1039.045913663545
2004-2005,Malaga,1016.406475901343
2004-2005,Atletico Madrid,993.4596470339297
2004-2005,Zaragoza,970.2006848786064
2004-2005,Getafe,946.6269467039192
2004-2005,Real Sociedad,922.7376745456314
2004-2005,Osasuna,898.5337932973581
2004-2005,Racing Santander,874.0177202153452
2004-2005,Mallorca,849.1931849127365
2004-2005,Levante,824.065059316178
2004-2005,Numancia,798.6391973780165
2004-2005,Albacete,772.9222845646367
2005-2006,Barcelona,1333.9038669689155
2005-2006,Real Madrid,1300.8783737196159
2005-2006,Valencia,1227.2655566724516
2005-2006,Osasuna,1122.727394996039
2005-2006,Sevilla,1191.2362701229931
2005-2006,Celta Vigo,1123.2195963220724
2005-2006,Villarreal,1175.2075156291962
2005-2006,Deportivo La Coruna,1097.070074303389
2005-2006,Getafe,1034.689752229244
2005-2006,Atletico Madrid,1030.7419742513607
2005-2006,Zaragoza,997.0215783848674
2005-2006,Athletic Club,1011.4354364105106
2005-2006,Mallorca,894.1200807665576
2005-2006,Real Betis,997.6651964523261
2005-2006,Espanyol,966.5028751797581
2005-2006,Real Sociedad,855.8133798027164
2005-2006,Racing Santander,805.5820040390738
2005-2006,Alaves,836.5518558640293
2005-2006,Cadiz,810.7701918916365
2005-2006,Malaga,791.970484734415
2006-2007,Real Madrid,1400.321051803653
2006-2007,Barcelona,1397.1260554431851
2006-2007,Sevilla,1293.3179792853855
2006-2007,Valencia,1289.8621921188862
2006-2007,Villarreal,1241.2828989640848
2006-2007,Zaragoza,1135.2262435575656
2006-2007,Atletico Madrid,1127.44021983417
2006-2007,Recreativo,1090.3268556658945
2006-2007,Getafe,1082.442248121051
2006-2007,Racing Santander,950.9076177766392
2006-2007,Espanyol,1001.5179006188292
2006-2007,Mallorca,943.0313634771785
2006-2007,Deportivo La Coruna,1009.135121693344
2006-2007,Osasuna,997.085570368211
2006-2007,Levante,834.8206094156146
2006-2007,Real Betis,891.3686417800012
2006-2007,Athletic Club,872.2105188541539
2006-2007,Celta Vigo,895.7687178537037
2006-2007,Real Sociedad,746.540747513762
2006-2007,Gimnastic,789.4134314219527
2007-2008,Real Madrid,1478.9051789595874
2007-2008,Villarreal,1357.0259174569621
2007-2008,Barcelona,1426.4971476771957
2007-2008,Atletico Madrid,1253.2599574411277
2007-2008,Sevilla,1316.7908389128236
2007-2008,Racing Santander,1126.1922102752387
2007-2008,Mallorca,1098.440219371032
2007-2008,Almeria,1100.8614484637158
2007-2008,Deportivo La Coruna,1081.3047317163773
2007-2008,Valencia,1188.5490850935596
2007-2008,Athletic Club,972.3459077656885
2007-2008,Espanyol,1007.6046994331131
2007-2008,Real Betis,930.4093896485771
2007-2008,Getafe,992.9455071830341
2007-2008,Valladolid,931.6994755399838
2007-2008,Recreativo,947.0444770911278
2007-2008,Osasuna,880.5129883271401
2007-2008,Zaragoza,916.4977064135737
2007-2008,Real Murcia,831.5691953615387
2007-2008,Levante,718.9670066464515
2008-2009,Barcelona,1504.435399847064
2008-2009,Real Madrid,1515.0548478219507
2008-2009,Sevilla,1385.5411921706782
2008-2009,Atletico Madrid,1324.7487473032163
2008-2009,Villarreal,1360.7094299824746
2008-2009,Valencia,1244.6287642743516
2008-2009,Deportivo La Coruna,1166.8797178342377
2008-2009,Malaga,995.6370750807704
2008-2009,Mallorca,1124.88377602466
2008-2009,Espanyol,1057.1884869603664
2008-2009,Almeria,1078.024369893661
2008-2009,Racing Santander,1066.5931163761672
2008-2009,Athletic Club,969.8090654581416
2008-2009,Sporting Gijon,957.9468483416392
2008-2009,Osasuna,872.768414870632
2008-2009,Valladolid,871.9920551090293
2008-2009,Getafe,875.7727933010619
2008-2009,Real Betis,818.6486807006718
2008-2009,Numancia,718.8009596431998
2008-2009,Recreativo,770.9351214747414
2009-2010,Barcelona,1570.7502526357616
2009-2010,Real Madrid,1552.194584771224
2009-2010,Valencia,1356.8286025336529
2009-2010,Sevilla,1415.8240550046528
2009-2010,Mallorca,1246.4207422553077
2009-2010,Getafe,1095.8779649741157
2009-2010,Villarreal,1322.8709258320637
2009-2010,Athletic Club,1099.3073305378437
2009-2010,Atletico Madrid,1253.072184603768
2009-2010,Deportivo La Coruna,1151.103225985503
2009-2010,Espanyol,1075.3828538583894
2009-2010,Osasuna,959.4901200490032
2009-2010,Almeria,1034.2855867247908
2009-2010,Zaragoza,931.0416522478779
2009-2010,Sporting Gijon,925.2831058540208
2009-2010,Racing Santander,951.6134697511445
2009-2010,Malaga,892.5620245472306
2009-2010,Valladolid,801.7018624864013
2009-2010,Tenerife,840.114063073061
2009-2010,Xerez,813.3871993378634
2010-2011,Barcelona,1625.523896593852
2010-2011,Real Madrid,1585.2825646701267
2010-2011,Valencia,1430.0393641721876
2010-2011,Villarreal,1384.9429861803794
2010-2011,Sevilla,1416.4050154928198
2010-2011,Athletic Club,1215.9701806137327
2010-2011,Atletico Madrid,1273.3456665161373
2010-2011,Espanyol,1157.9993858928362
2010-2011,Osasuna,1075.3048412988448
2010-2011,Sporting Gijon,1032.4613504346655
2010-2011,Malaga,989.528546976872
2010-2011,Racing Santander,993.5451684056347
2010-2011,Zaragoza,957.1253504764705
2010-2011,Levante,811.5098794312272
