Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,sezoni,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA90,SoTA,Saves,Save%,CS,CS%,PKA,PKsv,PKm,Age,Poss,Ast,PKatt,CrdY,CrdR
Barcelona,38,25,9,4,73,29,44,84,2.21,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Real Madrid,38,25,5,8,71,32,39,80,2.11,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Villarreal,38,18,11,9,69,37,32,65,1.71,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Real Betis,38,16,14,8,62,50,12,62,1.63,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Espanyol,38,17,10,11,54,46,8,61,1.61,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Sevilla,38,17,9,12,44,41,3,60,1.58,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Valencia,38,14,16,8,54,39,15,58,1.53,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Athletic Club,38,14,9,15,59,54,5,51,1.34,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Deportivo La Coruna,38,12,15,11,46,50,-4,51,1.34,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Malaga,38,15,6,17,40,48,-8,51,1.34,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Atletico Madrid,38,13,11,14,40,34,6,50,1.32,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Zaragoza,38,14,8,16,52,57,-5,50,1.32,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Getafe,38,12,11,15,38,46,-8,47,1.24,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,38,13,8,17,47,56,-9,47,1.24,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Osasuna,38,12,10,16,46,65,-19,46,1.21,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Racing Santander,38,12,8,18,41,58,-17,44,1.16,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Mallorca,38,10,9,19,42,63,-21,39,1.03,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Levante,38,9,10,19,39,58,-19,37,0.97,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Numancia,38,6,11,21,30,61,-31,29,0.76,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Albacete,38,6,10,22,33,56,-23,28,0.74,2004-2005,,,,,,,,,,,,,,,,,,,,,,
Barcelona,38,25,7,6,80,35,45,82,2.16,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Real Madrid,38,20,10,8,70,40,30,70,1.84,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Valencia,38,19,12,7,58,33,25,69,1.82,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Osasuna,38,21,5,12,49,43,6,68,1.79,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Sevilla,38,20,8,10,54,39,15,68,1.79,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Celta Vigo,38,20,4,14,45,33,12,64,1.68,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Villarreal,38,14,15,9,50,39,11,57,1.5,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Deportivo La Coruna,38,15,10,13,47,45,2,55,1.45,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Getafe,38,15,9,14,54,49,5,54,1.42,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Atletico Madrid,38,13,13,12,45,37,8,52,1.37,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Zaragoza,38,10,16,12,46,51,-5,46,1.21,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Athletic Club,38,11,12,15,40,46,-6,45,1.18,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Mallorca,38,10,13,15,37,51,-14,43,1.13,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Real Betis,38,10,12,16,34,51,-17,42,1.11,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Espanyol,38,10,11,17,36,56,-20,41,1.08,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,38,11,7,20,48,65,-17,40,1.05,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Racing Santander,38,9,13,16,36,49,-13,40,1.05,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Alaves,38,9,12,17,35,54,-19,39,1.03,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Cadiz,38,8,12,18,36,52,-16,36,0.95,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Malaga,38,5,9,24,36,68,-32,24,0.63,2005-2006,,,,,,,,,,,,,,,,,,,,,,
Real Madrid,38,23,7,8,66,40,26,76,2.0,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Barcelona,38,22,10,6,78,33,45,76,2.0,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Sevilla,38,21,8,9,64,35,29,71,1.87,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Valencia,38,20,6,12,57,42,15,66,1.74,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Villarreal,38,18,8,12,48,44,4,62,1.63,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Zaragoza,38,16,12,10,55,43,12,60,1.58,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Atletico Madrid,38,17,9,12,46,39,7,60,1.58,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Recreativo,38,15,9,14,54,52,2,54,1.42,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Getafe,38,14,10,14,39,33,6,52,1.37,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Racing Santander,38,12,14,12,42,48,-6,50,1.32,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Espanyol,38,12,13,13,46,53,-7,49,1.29,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Mallorca,38,14,7,17,41,47,-6,49,1.29,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Deportivo La Coruna,38,12,11,15,32,45,-13,47,1.24,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Osasuna,38,13,7,18,51,49,2,46,1.21,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Levante,38,10,12,16,37,53,-16,42,1.11,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Real Betis,38,8,16,14,36,49,-13,40,1.05,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Athletic Club,38,10,10,18,44,62,-18,40,1.05,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Celta Vigo,38,10,9,19,40,59,-19,39,1.03,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Real Sociedad,38,8,11,19,32,47,-15,35,0.92,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Gimnastic,38,7,7,24,34,69,-35,28,0.74,2006-2007,,,,,,,,,,,,,,,,,,,,,,
Real Madrid,38,27,4,7,84,36,48,85,2.24,2007-2008,,,,,,,,,,,,,,,,,,,,,,
Villarreal,38,24,5,9,63,40,23,77,2.03,2007-2008,,,,,,,,,,,,,,,,,,,,,,
Barcelona,38,19,10,9,76,43,33,67,1.76,2007-2008,,,,,,,,,,,,,,,,,,,,,,
