Squad,sezoni,PC1,PC2,PC3
Barcelona,2015-2016,7.704208563404066,-0.9146153192534404,0.9068043365648136
Real Madrid,2015-2016,7.346938463950917,-1.7551965643016916,-0.31353709931797963
Atletico Madrid,2015-2016,3.5732022535063725,2.6104472462915003,-1.4100281242691541
Villarreal,2015-2016,0.06724490114199111,1.9062719675124773,-1.8732344012726247
Athletic Club,2015-2016,1.1341600430326955,0.06363213561678677,0.6129406216883493
Celta Vigo,2015-2016,-0.23176751822670566,-1.4636396519166273,-0.8040681885141828
Sevilla,2015-2016,0.520591283555155,-0.11344717860737365,-0.20375248693181086
Malaga,2015-2016,0.22733290828143735,1.2855565061416891,0.6665507318262492
Real Sociedad,2015-2016,-0.1493021786485756,-0.1715141276092244,-1.5580853085636006
Real Betis,2015-2016,-1.7710633678244088,0.7835046921732346,0.1571242505508147
Las Palmas,2015-2016,-0.37599423769028373,-0.13803120472227887,0.520355113228646
Valencia,2015-2016,-0.4846836452842747,0.47702475881756057,-2.2196407982323163
Espanyol,2015-2016,-2.9013011704855343,-1.9074780316515296,-1.9195337719164727
Eibar,2015-2016,-1.764107979659448,-1.4570307489831278,-1.1510992609222879
Deportivo La Coruna,2015-2016,-1.4847641701796372,-1.5678414765261548,1.3915389394369584
Granada,2015-2016,-2.916523496619161,-1.3863433589213006,-1.1455804599119386
Sporting Gijon,2015-2016,-2.53400563992907,0.03393408099229505,-2.289021817225638
Rayo Vallecano,2015-2016,-1.1179020874981607,-2.498202059407864,1.5036220541255252
Getafe,2015-2016,-2.6156462435542407,-0.9419467196514829,-0.35123636667766894
Levante,2015-2016,-3.0806792413350625,-1.1879942570156774,0.08105591111951245
Real Madrid,2016-2017,6.442361857212799,-1.7964926963379722,0.09731687420944647
Barcelona,2016-2017,7.548803477727066,-1.6926527558351554,-0.0370222114461138
Atletico Madrid,2016-2017,3.6474457062251044,1.28161598589839,-0.3125937632975165
Sevilla,2016-2017,2.4128848154923177,-0.7226926559662764,-0.3436482850446219
Villarreal,2016-2017,1.9748165698241955,1.8629116442212448,-0.5632807035256807
Real Sociedad,2016-2017,1.240060046562506,-1.1787342239056116,-0.7302091290473199
Athletic Club,2016-2017,1.2008712100460632,-0.9317220481399386,-0.019062832342442288
Espanyol,2016-2017,-0.6440494236646699,1.078056656270525,0.057984659103776905
Alaves,2016-2017,-0.9581076440453317,1.3471617041246473,-1.7757719078110707
Eibar,2016-2017,0.20043328811923625,-0.47011037681449835,-0.07961800631965887
Malaga,2016-2017,-0.530639727097429,-1.1639318533952392,-0.8771671334337395
Valencia,2016-2017,-0.8722335297763063,-2.0439059474701216,-0.9145933697914135
Celta Vigo,2016-2017,-1.1936510212557758,-1.3386568296065229,-0.8227867496735918
Las Palmas,2016-2017,-1.0582723225006685,-2.8033253497794473,0.5057229755040438
Real Betis,2016-2017,-1.7216485766247116,-0.983678871540512,-0.7146946028337285
Deportivo La Coruna,2016-2017,-1.7246080734540727,-1.0381024905276526,0.811678706781539
Leganes,2016-2017,-2.3285457721513,-0.556554647487206,-0.5494285534977968
Sporting Gijon,2016-2017,-3.1367352034126865,-0.8876404511048447,-0.5792777291164148
Osasuna,2016-2017,-4.623431984732384,-3.402618536382077,-0.2102150334645802
Granada,2016-2017,-4.241943340875803,-1.4694736695212838,-1.9311113761586596
Barcelona,2017-2018,7.043788851193914,-0.28479233450517166,0.5883668524838395
Atletico Madrid,2017-2018,2.6006948138738406,3.1855309009270223,-0.9091944878489978
Real Madrid,2017-2018,5.882567425321179,-2.526750309545266,0.4697229313565716
Valencia,2017-2018,2.032330328705003,0.9690566601374088,-2.2825238605115654
Villarreal,2017-2018,0.7318654836386604,-0.06915141031873125,-0.6016076596415465
Real Betis,2017-2018,0.12221635390948919,-1.699823001389511,0.2447087550623897
Sevilla,2017-2018,0.4638340498647176,-1.620017306285142,0.2647003920054379
Getafe,2017-2018,-1.091644899591674,2.776828963681767,0.3787540100722605
Eibar,2017-2018,-0.3796016463102084,-0.5837202826799168,0.5686287643041413
Girona,2017-2018,-0.7961095224257415,-0.5831943844817852,-0.6209072838710528
Espanyol,2017-2018,-0.4938805377954231,1.5249750358423424,-0.2593463066263677
Real Sociedad,2017-2018,1.0418189343111162,-2.3058424428612208,-0.4538729472850608
Celta Vigo,2017-2018,0.0014530174961385157,-1.7209862969887533,-0.8874516300149176
Alaves,2017-2018,-1.5368599419587707,1.1873230475375813,-1.5835042283103
Levante,2017-2018,-1.9812300619260812,0.301573208267914,-1.3059408002798274
Athletic Club,2017-2018,-0.6694506154239053,0.3367856614139408,-0.24817877770043417
Leganes,2017-2018,-2.063210460045385,0.8920291603376668,0.5822562377602386
Deportivo La Coruna,2017-2018,-3.0510007284996568,-2.1478277500729903,1.3932150457232517
Las Palmas,2017-2018,-3.0983815551061644,-1.2520967505842278,0.3568962100991498
Malaga,2017-2018,-3.4011124611060577,-0.0275747605436244,0.28807928086564805
Barcelona,2018-2019,5.785670990862701,-0.9415200969206876,0.6360049957343673
Atletico Madrid,2018-2019,2.4007567995131223,2.4351556385693613,-1.0175914332561058
Real Madrid,2018-2019,3.294963826899751,-1.2885745963871,0.3002211105538182
Valencia,2018-2019,1.5677896284392323,1.8272407226777656,-0.7549864874731099
Getafe,2018-2019,-0.17761105678658373,2.4324368651686252,-0.04019128535764432
Sevilla,2018-2019,1.392904090253704,0.05071600906561928,0.5416284104316077
Espanyol,2018-2019,0.28363786275459424,0.2994676160555662,0.6025337694005484
Athletic Club,2018-2019,-1.0098004123386983,0.453446123314752,0.2799900663455977
Real Sociedad,2018-2019,-0.1567011086622785,-0.13615638103554356,-1.7017432841728888
Real Betis,2018-2019,0.24248149305887923,-0.8996751129500442,-0.06222697710974749
Alaves,2018-2019,-1.270862913131997,1.0759320859533812,-0.41202968140821244
Eibar,2018-2019,0.07074340929579263,-1.1591403854355762,1.683213626443279
Leganes,2018-2019,-1.4640549823988924,0.854689237405414,-0.46770484810439955
Villarreal,2018-2019,-0.13259808338774987,-0.0029870232608470264,-0.09010340932258278
Levante,2018-2019,-1.041163907162488,-0.29962780527258315,-0.8013033319151303
Valladolid,2018-2019,-1.8556928786519977,0.5141628212647422,0.4221552431802071
Celta Vigo,2018-2019,-0.7798090569392107,-1.4989484293400488,-1.039742124726743
Girona,2018-2019,-1.1882510780321531,0.9679440223827758,-0.3318387846494594
Huesca,2018-2019,-2.225501855916932,-0.8363186004426153,-0.2481153016850976
Rayo Vallecano,2018-2019,-2.3774965887635364,-1.5731855356043865,-0.16458840669972208
Real Madrid,2019-2020,5.097255780075958,0.7173903230437272,0.4158930535837287
Barcelona,2019-2020,4.809513204738979,-0.5850662888551292,0.5520512627272818
Atletico Madrid,2019-2020,1.9704330921755369,2.1927563631434137,-1.1150998396350054
Sevilla,2019-2020,2.2063952177108526,0.5688773831151518,0.5060288380266642
Villarreal,2019-2020,1.6116699179961973,0.09096813811142437,0.5717877515904589
Real Sociedad,2019-2020,0.8273628858333126,-0.27664462177986465,-1.8238092689938301
Granada,2019-2020,-0.7510125363011544,1.35778370687161,-0.5096879150906788
Getafe,2019-2020,-0.801818966481505,1.5032622948311762,-0.059436827857467185
Valencia,2019-2020,-0.5693534473624231,1.3322920124608044,-0.13837914685359148
Osasuna,2019-2020,-1.0881607534432913,-0.4871358936315778,0.593332001764312
Athletic Club,2019-2020,-0.19876353281127768,1.3521153970564763,-0.3584554744980933
Levante,2019-2020,-0.41477644982972967,0.8193614635712821,0.6381224431485251
Valladolid,2019-2020,-1.5521156438250956,1.5074431428590054,0.07281020625872311
Eibar,2019-2020,-1.7500524653307363,-0.5471285018053323,2.186532536597149
Real Betis,2019-2020,-0.6425440098772419,-1.1639281089394629,0.5247422023365009
Alaves,2019-2020,-3.1011894684236694,1.199074342164492,0.24344715674131664
Celta Vigo,2019-2020,-1.6828494647421546,0.28399718617855,-1.1021791794039328
Leganes,2019-2020,-2.4400956058160963,0.07876665689470513,-0.22658353971688272
Mallorca,2019-2020,-2.296314138660639,0.15880204323072994,-0.1354349776932399
Espanyol,2019-2020,-2.7888467225536333,-0.04187153834308616,0.6682631412080533
Atletico Madrid,2020-2021,3.6325446899109517,2.052835970503983,-0.21667962817753916
Real Madrid,2020-2021,4.710214839555201,1.3415019822001348,0.8136637747215282
Barcelona,2020-2021,5.473628442152806,-1.2016596452629194,-0.37500947665985873
Sevilla,2020-2021,2.464869061268634,1.1584866602646275,0.9140722983403152
Real Sociedad,2020-2021,1.2060538045071223,-0.23067751072515852,-1.6728804572764164
Real Betis,2020-2021,0.24847244510480326,-0.1086442952810783,0.7988272720346107
Villarreal,2020-2021,1.2044830146946157,0.2387340629335358,0.9851140126469955
Celta Vigo,2020-2021,-1.050016396460198,-0.7308455577039747,-0.45497049512265697
Granada,2020-2021,-2.189333096356258,-0.19587500539871608,0.29170995387121357
Athletic Club,2020-2021,-0.41021226043413295,0.1412010677946886,-0.23259638182571524
Osasuna,2020-2021,-1.580271054907755,0.9725097257225749,0.8329735559677517
Cadiz,2020-2021,-3.072564688557009,1.2185937062453063,1.5251862926505093
Valencia,2020-2021,-0.6908452772281168,0.3244392435722903,-1.5653887664628514
Levante,2020-2021,-1.1254808783791017,-0.43504721462892837,1.1683383124234017
Getafe,2020-2021,-2.568511723116132,1.2330751656892036,-0.520768991342795
Alaves,2020-2021,-3.032998519187719,0.13647798057451352,1.522697676118933
Elche,2020-2021,-3.002017290119221,1.2446030756773538,0.789814925467664
Huesca,2020-2021,-1.7522566093037801,-0.1426552223023331,1.2309179434777608
Valladolid,2020-2021,-2.764626219144561,0.3651000685660784,1.02020379889513
Eibar,2020-2021,-1.9334242824400008,-0.7051359706540241,1.5347539953729528
Real Madrid,2021-2022,5.968369550873245,-0.3720778406257116,0.683256498012781
Barcelona,2021-2022,3.453025598322864,-0.6318614868451892,-0.7493444859011803
Atletico Madrid,2021-2022,1.5677200186330535,-0.003073359885731018,0.7005452343629722
