Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alavés,3,38,38,"3,418",38,59,1.55,161,99,70.8,10,9,19,9,23.7,15,12,3,0,20
Athletic Club,2,38,38,"3,416",38,38,1,128,92,74.2,13,12,13,12,31.6,7,5,0,2,0
Atlético Madrid,2,38,38,"3,420",38,27,0.71,112,88,78.6,18,16,4,17,44.7,4,3,0,1,0
Barcelona,2,38,38,"3,420",38,38,1,119,80,73.1,25,7,6,15,39.5,7,6,1,0,14.3
Celta Vigo,3,38,38,"3,420",38,49,1.29,149,100,70.5,7,16,15,12,31.6,5,5,0,0,0
Eibar,2,38,38,"3,420",38,56,1.47,138,81,62.3,11,9,18,11,28.9,6,4,2,0,33.3
Espanyol,2,38,38,"3,412",38,58,1.53,163,106,68.1,5,10,23,6,15.8,7,6,1,0,14.3
Getafe,1,38,38,"3,420",38,37,0.97,109,73,70.6,14,12,12,15,39.5,6,5,1,0,16.7
Granada,2,38,38,"3,420",38,45,1.18,156,110,73.7,16,8,14,13,34.2,5,4,1,0,20
Leganés,2,38,38,"3,419",38,51,1.34,138,87,67.4,8,12,18,9,23.7,7,6,1,0,14.3
Levante,2,38,38,"3,420",38,53,1.39,215,161,76.7,14,7,17,6,15.8,6,3,2,1,40
Mallorca,3,38,38,"3,420",38,65,1.71,190,125,73.7,9,6,23,5,13.2,16,15,1,0,6.3
Osasuna,3,38,38,"3,418",38,54,1.42,143,89,65.7,13,13,12,11,28.9,5,5,0,0,0
Real Betis,2,38,38,"3,418",38,60,1.58,154,95,68.2,10,11,17,6,15.8,11,11,0,0,0
Real Madrid,2,38,38,"3,420",38,25,0.66,110,85,79.1,26,9,3,19,50,2,2,0,0,0
Real Sociedad,2,38,38,"3,420",38,48,1.26,144,96,71.5,16,8,14,9,23.7,9,7,1,1,12.5
Sevilla,2,38,38,"3,420",38,34,0.89,117,83,73.5,19,13,6,17,44.7,4,3,1,0,25
Valencia,2,38,38,"3,420",38,53,1.39,190,136,75.8,14,11,13,8,21.1,9,7,2,0,22.2
Valladolid,3,38,38,"3,420",38,43,1.13,139,95,74.1,9,15,14,12,31.6,8,7,1,0,12.5
Villarreal,2,38,38,"3,420",38,49,1.29,164,116,75,18,6,14,12,31.6,9,8,1,0,11.1
