Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
Alavés,33,38,29,373,111,29.8,9.82,2.92,0.06,0.21,6,7
Athletic Club,26,38,40,460,150,32.6,12.11,3.95,0.08,0.25,3,7
Atlético Madrid,26,38,63,458,152,33.2,12.05,4,0.13,0.39,4,5
Barcelona,38,38,68,511,177,34.6,13.45,4.66,0.12,0.35,6,7
Cádiz,33,38,35,405,118,29.1,10.66,3.11,0.08,0.27,3,6
Celta Vigo,25,38,43,405,135,33.3,10.66,3.55,0.1,0.3,3,6
Elche,28,38,39,334,106,31.7,8.79,2.79,0.11,0.36,1,1
Espanyol,34,38,39,403,128,31.8,10.61,3.37,0.08,0.27,5,5
Getafe,31,38,31,404,111,27.5,10.63,2.92,0.07,0.25,3,5
Granada,32,38,43,421,131,31.1,11.08,3.45,0.1,0.31,3,5
Levante,31,38,51,430,146,34,11.32,3.84,0.1,0.29,8,13
Mallorca,33,38,33,440,131,29.8,11.58,3.45,0.06,0.21,6,7
Osasuna,29,38,37,425,114,26.8,11.18,3,0.07,0.27,6,8
Rayo Vallecano,28,38,38,500,133,26.6,13.16,3.5,0.07,0.26,4,4
Real Betis,31,38,60,509,182,35.8,13.39,4.79,0.11,0.3,6,6
Real Madrid,31,38,80,645,243,37.7,16.97,6.39,0.11,0.3,8,12
Real Sociedad,32,38,40,430,143,33.3,11.32,3.76,0.07,0.22,9,10
Sevilla,33,38,51,430,139,32.3,11.32,3.66,0.11,0.35,2,3
Valencia,34,38,45,394,129,32.7,10.37,3.39,0.09,0.29,8,9
Villarreal,29,38,62,449,164,36.5,11.82,4.32,0.13,0.35,5,6
