Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,30,25.6,41.8,38,418,"3,420",38,33,28,61,30,3,7,84,1,0.87,0.74,1.61,0.79,1.53
Almería,35,25.6,46.4,38,418,"3,420",38,42,25,67,40,2,2,93,6,1.11,0.66,1.76,1.05,1.71
Athletic Club,27,27.3,49.8,38,418,"3,420",38,59,41,100,56,3,5,80,5,1.55,1.08,2.63,1.47,2.55
Atlético Madrid,27,29.2,50.8,38,418,"3,420",38,68,48,116,63,5,6,89,5,1.79,1.26,3.05,1.66,2.92
Barcelona,29,26,64.3,38,418,"3,420",38,76,55,131,70,6,7,87,2,2,1.45,3.45,1.84,3.29
Cádiz,34,28.5,43.3,38,418,"3,420",38,25,17,42,22,3,3,107,7,0.66,0.45,1.11,0.58,1.03
Celta Vigo,31,26.7,46.1,38,418,"3,420",38,45,35,80,42,3,5,66,5,1.18,0.92,2.11,1.11,2.03
Getafe,33,27.3,44.8,38,418,"3,420",38,42,27,69,36,6,7,135,10,1.11,0.71,1.82,0.95,1.66
Girona,25,26.1,56.9,38,418,"3,420",38,84,64,148,77,7,8,75,1,2.21,1.68,3.89,2.03,3.71
Granada,40,26.7,45.6,38,418,"3,420",38,35,27,62,30,5,8,98,4,0.92,0.71,1.63,0.79,1.5
Las Palmas,29,25.6,59.2,38,418,"3,420",38,33,23,56,30,3,5,84,5,0.87,0.61,1.47,0.79,1.39
Mallorca,25,28.7,45,38,418,"3,420",38,33,27,60,32,1,3,105,4,0.87,0.71,1.58,0.84,1.55
Osasuna,29,27.7,47.5,38,418,"3,420",38,45,32,77,41,4,5,78,5,1.18,0.84,2.03,1.08,1.92
Rayo Vallecano,26,29.4,49.4,38,418,"3,420",38,29,12,41,23,6,6,108,5,0.76,0.32,1.08,0.61,0.92
Real Betis,35,27.8,50.4,38,418,"3,420",38,46,31,77,44,2,3,87,3,1.21,0.82,2.03,1.16,1.97
Real Madrid,27,27.4,59.2,38,418,"3,420",38,85,66,151,83,2,5,69,4,2.24,1.74,3.97,2.18,3.92
Real Sociedad,31,25.8,55.3,38,418,"3,420",38,48,36,84,44,4,4,98,2,1.26,0.95,2.21,1.16,2.11
Sevilla,35,28.6,50.3,38,418,"3,420",38,46,30,76,44,2,2,108,4,1.21,0.79,2,1.16,1.95
Valencia,29,23.8,44.3,38,418,"3,420",38,39,24,63,31,8,9,64,5,1.03,0.63,1.66,0.82,1.45
Villarreal,32,27.9,49.6,38,418,"3,420",38,64,47,111,59,5,7,110,8,1.68,1.24,2.92,1.55,2.79
